Reconstruction Loss: 0.058089785277843475, KLD Loss: -28.040693283081055
Reconstruction Loss: 0.05854542553424835, KLD Loss: -36.19350814819336
Reconstruction Loss: 0.05466724559664726, KLD Loss: -31.444580078125
Reconstruction Loss: 0.05653340741991997, KLD Loss: -35.81463623046875
Reconstruction Loss: 0.05522425100207329, KLD Loss: -29.302793502807617
Reconstruction Loss: 0.05932667478919029, KLD Loss: -19.91629409790039
Reconstruction Loss: 0.05453094094991684, KLD Loss: -25.091785430908203
Reconstruction Loss: 0.05184487625956535, KLD Loss: -26.300464630126953
Reconstruction Loss: 0.05771990865468979, KLD Loss: -22.213552474975586
Reconstruction Loss: 0.054993998259305954, KLD Loss: -26.981117248535156
Reconstruction Loss: 0.051744233816862106, KLD Loss: -27.483470916748047
Reconstruction Loss: 0.053289204835891724, KLD Loss: -23.302574157714844
Reconstruction Loss: 0.05600234121084213, KLD Loss: -22.878515243530273
Reconstruction Loss: 0.04959383234381676, KLD Loss: -21.2058048248291
Reconstruction Loss: 0.05213550850749016, KLD Loss: -23.104305267333984
Reconstruction Loss: 0.050604335963726044, KLD Loss: -22.813934326171875
Reconstruction Loss: 0.0524168461561203, KLD Loss: -21.38536834716797
Reconstruction Loss: 0.051367394626140594, KLD Loss: -24.58704948425293
Reconstruction Loss: 0.053307920694351196, KLD Loss: -20.41112518310547
Reconstruction Loss: 0.05761507898569107, KLD Loss: -17.526330947875977
Reconstruction Loss: 0.05052138864994049, KLD Loss: -29.77871322631836
Reconstruction Loss: 0.05187050625681877, KLD Loss: -29.225006103515625
Reconstruction Loss: 0.05142521858215332, KLD Loss: -19.878042221069336
Reconstruction Loss: 0.053403839468955994, KLD Loss: -21.78985595703125
Reconstruction Loss: 0.054913461208343506, KLD Loss: -33.4171142578125
Reconstruction Loss: 0.048956356942653656, KLD Loss: -33.7874755859375
Reconstruction Loss: 0.05224395915865898, KLD Loss: -25.276912689208984
Reconstruction Loss: 0.05451607704162598, KLD Loss: -24.602840423583984
Reconstruction Loss: 0.051715951412916183, KLD Loss: -31.79290008544922
Reconstruction Loss: 0.055926449596881866, KLD Loss: -46.438270568847656
Reconstruction Loss: 0.053367823362350464, KLD Loss: -39.4465446472168
Reconstruction Loss: 0.05114790424704552, KLD Loss: -26.57480812072754
Reconstruction Loss: 0.05054454132914543, KLD Loss: -30.139095306396484
Reconstruction Loss: 0.04792817682027817, KLD Loss: -34.89607620239258
Reconstruction Loss: 0.04783760756254196, KLD Loss: -28.882400512695312
Reconstruction Loss: 0.04729607328772545, KLD Loss: -24.308740615844727
Reconstruction Loss: 0.046784013509750366, KLD Loss: -20.702152252197266
Reconstruction Loss: 0.044092923402786255, KLD Loss: -29.451602935791016
Reconstruction Loss: 0.04639402776956558, KLD Loss: -31.524545669555664
Reconstruction Loss: 0.04302191361784935, KLD Loss: -27.148883819580078
Reconstruction Loss: 0.051192596554756165, KLD Loss: -27.25751495361328
Reconstruction Loss: 0.046703439205884933, KLD Loss: -27.6534366607666
Reconstruction Loss: 0.04828061908483505, KLD Loss: -30.236669540405273
Reconstruction Loss: 0.046995457261800766, KLD Loss: -29.261255264282227
Reconstruction Loss: 0.04524442180991173, KLD Loss: -23.477725982666016
Reconstruction Loss: 0.04615278169512749, KLD Loss: -18.18500328063965
Reconstruction Loss: 0.04354999214410782, KLD Loss: -26.53959846496582
