,0
875,0.023989625
876,0.023284843
877,0.023301747
878,0.020491526
879,0.020116849
880,0.021514123
881,0.023838183
882,0.023562264
883,0.024536561
884,0.0232439
885,0.022276497
886,0.02366494
887,0.026032541
888,0.024240253
889,0.022049386
890,0.022563836
891,0.023304751
892,0.024397537
893,0.021379381
894,0.022500612
895,0.022342205
896,0.019216966
897,0.022996996
898,0.021887887
899,0.02236947
900,0.02494668
901,0.023468234
902,0.022364704
903,0.021713872
904,0.021078935
905,0.024670098
906,0.022045683
907,0.022867203
908,0.023154955
909,0.021497194
910,0.023056485
911,0.023999587
912,0.021631991
913,0.021691492
914,0.023734903
915,0.023388302
916,0.022816425
917,0.022332262
918,0.024854057
919,0.022512559
920,0.02260535
921,0.022687782
922,0.022544283
923,0.021217301
924,0.021966694
925,0.022457745
926,0.022238357
927,0.023820475
928,0.022131752
929,0.021674968
930,0.022782585
931,0.023134977
932,0.02215456
933,0.022209402
934,0.023194721
935,0.02314826
936,0.022953339
937,0.023500329
938,0.02117995
939,0.024418186
940,0.024776135
941,0.0214364
942,0.022783255
943,0.021154493
944,0.021044292
945,0.022988824
946,0.022948956
947,0.020759404
948,0.022250831
949,0.022895327
950,0.020230893
951,0.021888264
952,0.023245176
953,0.019491559
954,0.02086897
955,0.021392215
956,0.02358894
957,0.022395533
958,0.021022988
959,0.022610169
960,0.023379877
961,0.022871612
962,0.022522835
963,0.023375139
964,0.022928279
965,0.023459613
966,0.022426993
967,0.021117514
968,0.020461773
969,0.022085806
970,0.021765113
971,0.022401989
972,0.024488576
973,0.02392441
974,0.023371603
975,0.021759568
976,0.022118857
977,0.023153102
978,0.024372285
979,0.02453513
980,0.024514657
981,0.022850906
982,0.01987284
983,0.022157095
984,0.02404148
985,0.023024183
986,0.022414451
987,0.025204552
988,0.02405386
989,0.023007393
990,0.020562898
991,0.02498541
992,0.020775782
993,0.022967063
994,0.021754405
995,0.021890253
996,0.021185327
997,0.023694744
998,0.023144832
999,0.023341727
1000,0.020009857
1001,0.022577371
1002,0.024337117
1003,0.021338295
1004,0.022771252
1005,0.022283927
1006,0.024237499
1007,0.02294626
1008,0.021101214
1009,0.02568264
1010,0.021262458
1011,0.022081006
1012,0.023906669
1013,0.021975782
1014,0.02109038
1015,0.023149118
1016,0.028296864
1017,0.021756493
1018,0.021144852
1019,0.02306158
1020,0.022581667
1021,0.022949781
1022,0.020120513
1023,0.022576824
1024,0.021623291
1025,0.021757683
1026,0.02256025
1027,0.023038521
1028,0.023070967
1029,0.022239253
1030,0.021981973
1031,0.023401208
1032,0.02256213
1033,0.024299568
1034,0.019251635
1035,0.022340797
1036,0.02122891
1037,0.021304954
1038,0.021197796
1039,0.021331778
1040,0.024638634
1041,0.022100603
1042,0.022750696
1043,0.022815658
1044,0.020809501
1045,0.02130637
1046,0.022568857
1047,0.021895386
1048,0.021801155
1049,0.020666175
1050,0.02053421
1051,0.021814656
1052,0.020401636
1053,0.020447113
1054,0.020302739
1055,0.021649867
1056,0.023411375
1057,0.021537816
1058,0.022255734
1059,0.022326056
1060,0.022956882
1061,0.023829274
1062,0.021218112
1063,0.02242585
1064,0.022243975
1065,0.021842863
1066,0.019560011
1067,0.022478629
